Date,Close,Volume,Open,High,Low
08/19/2011,0.1,6.0,0.1,0.1,0.1
08/22/2011,0.15,2.0,0.15,0.15,0.15
08/23/2011,0.1,28.0,0.1,0.15,0.1
08/24/2011,0.1,160.0,0.1,0.1,0.1
08/25/2011,0.1,40.0,0.1,0.1,0.1
08/26/2011,0.1,438.0,0.1,0.1,0.1
08/29/2011,0.1,,0.1,0.1,0.1
08/30/2011,0.1,5.0,0.1,0.1,0.1
08/31/2011,0.1,,0.1,0.1,0.1
09/01/2011,0.1,,0.1,0.1,0.1
09/02/2011,0.1,122.0,0.1,0.1,0.1
09/06/2011,0.1,,0.1,0.1,0.1
09/07/2011,0.1,,0.1,0.1,0.1
09/08/2011,0.1,,0.1,0.1,0.1
09/09/2011,0.1,2.0,0.1,0.1,0.1
09/12/2011,0.15,2.0,0.15,0.15,0.15
09/13/2011,0.1,10.0,0.1,0.1,0.1
09/14/2011,0.1,,0.1,0.1,0.1
09/15/2011,0.1,,0.1,0.1,0.1
09/16/2011,0.1,170.0,0.1,0.1,0.1
09/19/2011,0.1,610.0,0.1,0.1,0.1
09/20/2011,0.1,,0.1,0.1,0.1
09/21/2011,0.1,,0.1,0.1,0.1
09/22/2011,0.1,,0.1,0.1,0.1
09/23/2011,0.1,21.0,0.1,0.1,0.1
09/26/2011,0.1,185.0,0.1,0.1,0.1
09/27/2011,0.1,251.0,0.1,0.1,0.1
09/28/2011,0.1,,0.1,0.1,0.1
09/29/2011,0.1,,0.1,0.1,0.1
09/30/2011,0.15,40.0,0.1,0.15,0.1
10/03/2011,0.1,20.0,0.1,0.1,0.1
10/04/2011,0.1,,0.1,0.1,0.1
10/05/2011,0.1,40.0,0.1,0.1,0.1
10/06/2011,0.1,,0.1,0.1,0.1
10/07/2011,0.1,70.0,0.1,0.15,0.1
10/10/2011,0.1,,0.1,0.1,0.1
10/11/2011,0.1,,0.1,0.1,0.1
10/12/2011,0.1,15.0,0.1,0.1,0.1
10/13/2011,0.1,238.0,0.1,0.1,0.1
10/14/2011,0.1,6.0,0.1,0.1,0.1
10/17/2011,0.1,24.0,0.1,0.1,0.1
10/18/2011,0.1,,0.1,0.1,0.1
10/19/2011,0.1,10.0,0.1,0.1,0.1
10/20/2011,0.1,,0.1,0.1,0.1
10/21/2011,0.1,140.0,0.1,0.1,0.1
10/24/2011,0.1,,0.1,0.1,0.1
10/25/2011,0.1,,0.1,0.1,0.1
10/26/2011,0.1,142.0,0.1,0.1,0.1
10/27/2011,0.1,,0.1,0.1,0.1
10/28/2011,0.1,,0.1,0.1,0.1
10/31/2011,0.1,72.0,0.15,0.15,0.1
11/01/2011,0.1,8.0,0.1,0.1,0.1
11/02/2011,0.1,,0.1,0.1,0.1
11/03/2011,0.15,200.0,0.15,0.15,0.15
11/04/2011,0.105,190.0,0.15,0.15,0.105
11/07/2011,0.105,12.0,0.105,0.105,0.105
11/08/2011,0.1,58857.0,0.105,0.105,0.05
11/09/2011,0.1,,0.1,0.1,0.1
11/10/2011,0.1,,0.1,0.1,0.1
11/11/2011,0.1,,0.1,0.1,0.1
11/14/2011,0.1,,0.1,0.1,0.1
11/15/2011,0.075,62.0,0.075,0.075,0.075
11/16/2011,0.095,36.0,0.075,0.095,0.075
11/17/2011,0.075,20.0,0.075,0.075,0.075
11/18/2011,0.075,106.0,0.075,0.075,0.075
11/21/2011,0.075,,0.075,0.075,0.075
11/22/2011,0.075,,0.075,0.075,0.075
11/23/2011,0.095,4200.0,0.095,0.095,0.095
11/25/2011,0.095,,0.095,0.095,0.095
11/28/2011,0.075,334.0,0.075,0.075,0.075
11/29/2011,0.075,,0.075,0.075,0.075
11/30/2011,0.06,403.0,0.075,0.075,0.06
12/01/2011,0.06,30.0,0.06,0.06,0.06
12/02/2011,0.06,280.0,0.06,0.06,0.06
12/05/2011,0.06,73.0,0.06,0.06,0.06
12/06/2011,0.095,7.0,0.06,0.095,0.06
12/07/2011,0.055,4426.0,0.06,0.06,0.055
12/08/2011,0.06,22.0,0.06,0.06,0.06
12/09/2011,0.06,134.0,0.06,0.06,0.06
12/12/2011,0.06,24.0,0.06,0.06,0.06
12/13/2011,0.06,435.0,0.06,0.09,0.06
12/14/2011,0.06,20.0,0.06,0.06,0.06
12/15/2011,0.06,3.0,0.06,0.06,0.06
12/16/2011,0.06,320.0,0.06,0.06,0.06
12/19/2011,0.06,32.0,0.06,0.06,0.06
12/20/2011,0.06,770.0,0.06,0.06,0.06
12/21/2011,0.06,170.0,0.06,0.06,0.06
12/22/2011,0.06,180.0,0.06,0.06,0.06
12/23/2011,0.06,323.0,0.06,0.06,0.06
12/27/2011,0.06,64.0,0.06,0.06,0.06
12/28/2011,0.06,63.0,0.06,0.06,0.06
12/29/2011,0.06,96.0,0.06,0.06,0.06
12/30/2011,0.06,159.0,0.06,0.06,0.06
01/03/2012,0.085,1026.0,0.06,0.085,0.055
01/04/2012,0.085,,0.085,0.085,0.085
01/05/2012,0.085,,0.085,0.085,0.085
